dist|perl-5.31.0.author|perl-5.31.0.distname|perl-5.31.0.distversion|perl-5.31.0.grade|perl-5.31.1.author|perl-5.31.1.distname|perl-5.31.1.distversion|perl-5.31.1.grade
B-Hooks-OP-Check-EntersubForCV|ZEFRAM|B-Hooks-OP-Check-EntersubForCV-0.10|0.10|PASS|ZEFRAM|B-Hooks-OP-Check-EntersubForCV-0.10|0.10|PASS
B-Hooks-OP-PPAddr|ETHER|B-Hooks-OP-PPAddr-0.06|0.06|PASS|ETHER|B-Hooks-OP-PPAddr-0.06|0.06|PASS
B-Hooks-Parser|ETHER|B-Hooks-Parser-0.21|0.21|PASS|ETHER|B-Hooks-Parser-0.21|0.21|PASS
B-Keywords|RURBAN|B-Keywords-1.20|1.20|PASS|RURBAN|B-Keywords-1.20|1.20|PASS
B-OPCheck|ETHER|B-OPCheck-0.32|0.32|PASS|ETHER|B-OPCheck-0.32|0.32|PASS
B-Utils|ETHER|B-Utils-0.27|0.27|PASS|ETHER|B-Utils-0.27|0.27|PASS
BSD-Resource|JHI|BSD-Resource-1.2911|1.2911|PASS|JHI|BSD-Resource-1.2911|1.2911|PASS
BSD-Sysctl|DLAND|BSD-Sysctl-0.11|0.11|FAIL|DLAND|BSD-Sysctl-0.11|0.11|FAIL
BSON|MONGODB|BSON-v1.12.0|v1.12.0|PASS|MONGODB|BSON-v1.12.0|v1.12.0|PASS
BSON-XS|MONGODB|BSON-XS-v0.8.0|v0.8.0|PASS|MONGODB|BSON-XS-v0.8.0|v0.8.0|PASS
BackPAN-Index|MSCHWERN|BackPAN-Index-0.42|0.42|PASS|MSCHWERN|BackPAN-Index-0.42|0.42|PASS
Badge-Depot|CSSON|Badge-Depot-0.0104|0.0104|PASS|CSSON|Badge-Depot-0.0104|0.0104|PASS
Badger|ABW|Badger-0.13|0.13|PASS|ABW|Badger-0.13|0.13|PASS
Barcode-Code128|WRW|Barcode-Code128-2.21|2.21|PASS|WRW|Barcode-Code128-2.21|2.21|PASS
Bash-Completion|MELO|Bash-Completion-0.008|0.008|PASS|MELO|Bash-Completion-0.008|0.008|PASS
Beam-Emitter|PREACTION|Beam-Emitter-1.007|1.007|PASS|PREACTION|Beam-Emitter-1.007|1.007|PASS
Beam-Service|PREACTION|Beam-Service-0.001|0.001|PASS|PREACTION|Beam-Service-0.001|0.001|PASS
Beam-Wire|PREACTION|Beam-Wire-1.023|1.023|PASS|PREACTION|Beam-Wire-1.023|1.023|PASS
Benchmark-Timer|DCOPPIT|Benchmark-Timer-0.7112|0.7112|PASS|DCOPPIT|Benchmark-Timer-0.7112|0.7112|PASS
BenchmarkAnything-Config|SCHWIGON|BenchmarkAnything-Config-0.003|0.003|PASS|SCHWIGON|BenchmarkAnything-Config-0.003|0.003|PASS
BenchmarkAnything-Reporter|SCHWIGON|BenchmarkAnything-Reporter-0.003|0.003|PASS|SCHWIGON|BenchmarkAnything-Reporter-0.003|0.003|PASS
BenchmarkAnything-Schema|SCHWIGON|BenchmarkAnything-Schema-0.004|0.004|PASS|SCHWIGON|BenchmarkAnything-Schema-0.004|0.004|PASS
BenchmarkAnything-Storage-Backend-SQL|SCHWIGON|BenchmarkAnything-Storage-Backend-SQL-0.026|0.026|UNKNOWN|SCHWIGON|BenchmarkAnything-Storage-Backend-SQL-0.026|0.026|UNKNOWN
BenchmarkAnything-Storage-Search-Elasticsearch|SCHWIGON|BenchmarkAnything-Storage-Search-Elasticsearch-0.004|0.004|PASS|SCHWIGON|BenchmarkAnything-Storage-Search-Elasticsearch-0.004|0.004|PASS
BerkeleyDB|PMQS|BerkeleyDB-0.61|0.61|FAIL|PMQS|BerkeleyDB-0.61|0.61|FAIL
Best|GAAL|Best-0.15|0.15|PASS|GAAL|Best-0.15|0.15|PASS
Bio-FastParsers|DBAURAIN|Bio-FastParsers-0.180470|0.180470|PASS|DBAURAIN|Bio-FastParsers-0.180470|0.180470|PASS
Bio-LITE-Taxonomy|MOTIF|Bio-LITE-Taxonomy-0.07|0.07|PASS|MOTIF|Bio-LITE-Taxonomy-0.07|0.07|PASS
Bio-LITE-Taxonomy-NCBI|MOTIF|Bio-LITE-Taxonomy-NCBI-0.1|0.1|PASS|MOTIF|Bio-LITE-Taxonomy-NCBI-0.1|0.1|PASS
Bio-LITE-Taxonomy-NCBI-Gi2taxid|MOTIF|Bio-LITE-Taxonomy-NCBI-Gi2taxid-0.13|0.13|PASS|MOTIF|Bio-LITE-Taxonomy-NCBI-Gi2taxid-0.13|0.13|PASS
Bio-Phylo|RVOSA|Bio-Phylo-v2.0.1|v2.0.1|PASS|RVOSA|Bio-Phylo-v2.0.1|v2.0.1|PASS
BioSAILs|JILLROWE|BioSAILs-0.02|0.02|PASS|JILLROWE|BioSAILs-0.02|0.02|PASS
BioX-Wrapper|JILLROWE|BioX-Wrapper-1.5|1.5|PASS|JILLROWE|BioX-Wrapper-1.5|1.5|PASS
Bit-Vector|STBEY|Bit-Vector-7.4|7.4|PASS|STBEY|Bit-Vector-7.4|7.4|PASS
Bit-Vector-Minimal|TMTM|Bit-Vector-Minimal-1.3|1.3|PASS|TMTM|Bit-Vector-Minimal-1.3|1.3|PASS
Bot-BasicBot|BIGPRESH|Bot-BasicBot-0.93|0.93|PASS|BIGPRESH|Bot-BasicBot-0.93|0.93|PASS
Bot-BasicBot-Pluggable|BIGPRESH|Bot-BasicBot-Pluggable-1.20|1.20|PASS|BIGPRESH|Bot-BasicBot-Pluggable-1.20|1.20|PASS
Bot-Training|AVAR|Bot-Training-0.07|0.07|PASS|AVAR|Bot-Training-0.07|0.07|PASS
Bot-Training-MegaHAL|AVAR|Bot-Training-MegaHAL-0.03|0.03|PASS|AVAR|Bot-Training-MegaHAL-0.03|0.03|PASS
Bot-Training-StarCraft|AVAR|Bot-Training-StarCraft-0.03|0.03|PASS|AVAR|Bot-Training-StarCraft-0.03|0.03|PASS
Brannigan|IDOPEREL|Brannigan-1.100001|1.100001|PASS|IDOPEREL|Brannigan-1.100001|1.100001|PASS
Bread-Board|YANICK|Bread-Board-0.37|0.37|PASS|YANICK|Bread-Board-0.37|0.37|PASS
Bread-Board-Declare|DOY|Bread-Board-Declare-0.16|0.16|PASS|DOY|Bread-Board-Declare-0.16|0.16|PASS
Browser-Open|CFRANKS|Browser-Open-0.04|0.04|PASS|CFRANKS|Browser-Open-0.04|0.04|PASS
Business-CPI|ANDRE|Business-CPI-0.924|0.924|PASS|ANDRE|Business-CPI-0.924|0.924|PASS
Business-CreditCard|IVAN|Business-CreditCard-0.36|0.36|PASS|IVAN|Business-CreditCard-0.36|0.36|PASS
Business-ISBN|BDFOY|Business-ISBN-3.004|3.004|PASS|BDFOY|Business-ISBN-3.004|3.004|PASS
Business-ISBN-Data|BDFOY|Business-ISBN-Data-20140910.003|20140910.003|PASS|BDFOY|Business-ISBN-Data-20140910.003|20140910.003|PASS
Business-ISSN|BDFOY|Business-ISSN-1.003|1.003|PASS|BDFOY|Business-ISSN-1.003|1.003|PASS
Business-OnlinePayment|IVAN|Business-OnlinePayment-3.05|3.05|PASS|IVAN|Business-OnlinePayment-3.05|3.05|PASS
Business-PayPal-API|OALDERS|Business-PayPal-API-0.77|0.77|PASS|OALDERS|Business-PayPal-API-0.77|0.77|PASS
Bytes-Random-Secure|DAVIDO|Bytes-Random-Secure-0.29|0.29|PASS|DAVIDO|Bytes-Random-Secure-0.29|0.29|PASS
Bytes-Random-Secure-Tiny|DAVIDO|Bytes-Random-Secure-Tiny-1.008|1.008|PASS|DAVIDO|Bytes-Random-Secure-Tiny-1.008|1.008|PASS
C-Tokenize|BKB|C-Tokenize-0.18|0.18|PASS|BKB|C-Tokenize-0.18|0.18|PASS
CACertOrg-CA|BDFOY|CACertOrg-CA-20110724.005|20110724.005|PASS|BDFOY|CACertOrg-CA-20110724.005|20110724.005|PASS
CAD-Calc|EWILHELM|CAD-Calc-0.27|0.27|PASS|EWILHELM|CAD-Calc-0.27|0.27|PASS
CAM-PDF|CDOLAN|CAM-PDF-1.60|1.60|PASS|CDOLAN|CAM-PDF-1.60|1.60|PASS
CAM-Template|CLOTHO|CAM-Template-0.93|0.93|PASS|CLOTHO|CAM-Template-0.93|0.93|PASS
CBOR-XS|MLEHMANN|CBOR-XS-1.71|1.71|PASS|MLEHMANN|CBOR-XS-1.71|1.71|PASS
CDB_File|TODDR|CDB_File-0.99|0.99|PASS|TODDR|CDB_File-0.99|0.99|PASS
CGI|LEEJO|CGI-4.44|4.44|PASS|LEEJO|CGI-4.44|4.44|PASS
CGI-Application|MARTO|CGI-Application-4.61|4.61|PASS|MARTO|CGI-Application-4.61|4.61|PASS
CGI-Application-Dispatch|MARKSTOS|CGI-Application-Dispatch-3.12|3.12|PASS|MARKSTOS|CGI-Application-Dispatch-3.12|3.12|PASS
CGI-Application-Plugin-AutoRunmode|THILO|CGI-Application-Plugin-AutoRunmode-0.18|0.18|PASS|THILO|CGI-Application-Plugin-AutoRunmode-0.18|0.18|PASS
CGI-Application-Plugin-DBH|FREW|CGI-Application-Plugin-DBH-4.04|4.04|PASS|FREW|CGI-Application-Plugin-DBH-4.04|4.04|PASS
CGI-Application-Plugin-DevPopup|RHESA|CGI-Application-Plugin-DevPopup-1.08|1.08|PASS|RHESA|CGI-Application-Plugin-DevPopup-1.08|1.08|PASS
CGI-Application-Plugin-Forward|MGRAHAM|CGI-Application-Plugin-Forward-1.06|1.06|PASS|MGRAHAM|CGI-Application-Plugin-Forward-1.06|1.06|PASS
CGI-Application-Plugin-LogDispatch|CEESHEK|CGI-Application-Plugin-LogDispatch-1.02|1.02|PASS|CEESHEK|CGI-Application-Plugin-LogDispatch-1.02|1.02|PASS
CGI-Application-Plugin-Redirect|CEESHEK|CGI-Application-Plugin-Redirect-1.00|1.00|PASS|CEESHEK|CGI-Application-Plugin-Redirect-1.00|1.00|PASS
CGI-Application-Plugin-Session|FREW|CGI-Application-Plugin-Session-1.05|1.05|PASS|FREW|CGI-Application-Plugin-Session-1.05|1.05|PASS
CGI-Application-Plugin-Stream|PURDY|CGI-Application-Plugin-Stream-2.12|2.12|PASS|PURDY|CGI-Application-Plugin-Stream-2.12|2.12|PASS
CGI-Application-Plugin-TT|CEESHEK|CGI-Application-Plugin-TT-1.05|1.05|PASS|CEESHEK|CGI-Application-Plugin-TT-1.05|1.05|PASS
CGI-Application-Plugin-ValidateRM|FANY|CGI-Application-Plugin-ValidateRM-2.5|2.5|PASS|FANY|CGI-Application-Plugin-ValidateRM-2.5|2.5|PASS
CGI-Application-Server|RJBS|CGI-Application-Server-0.063|0.063|PASS|RJBS|CGI-Application-Server-0.063|0.063|PASS
CGI-Compile|MIYAGAWA|CGI-Compile-0.22|0.22|PASS|MIYAGAWA|CGI-Compile-0.22|0.22|PASS
CGI-Cookie-Splitter|ETHER|CGI-Cookie-Splitter-0.05|0.05|PASS|ETHER|CGI-Cookie-Splitter-0.05|0.05|PASS
CGI-Cookie-XS|AGENT|CGI-Cookie-XS-0.18|0.18|PASS|AGENT|CGI-Cookie-XS-0.18|0.18|PASS
CGI-Deurl-XS|ATHOMASON|CGI-Deurl-XS-0.08|0.08|PASS|ATHOMASON|CGI-Deurl-XS-0.08|0.08|PASS
CGI-Emulate-PSGI|TOKUHIROM|CGI-Emulate-PSGI-0.23|0.23|PASS|TOKUHIROM|CGI-Emulate-PSGI-0.23|0.23|PASS
